,title,eps_count,publish_date,status,season,studio,Censorship,rate,director,eps_period,type,classification
640,The God of High School,الحلقات: 13,5-Oct-23,الحالة: مكتمل,Summer 2020,MAPPA,الرقابة: Censored,التقييم 7.07,Park Seong-Hu,المدة: 23 min. per ep.,النوع: مسلسل,"['Action', 'Fantasy', 'Martial Arts', 'Super Power']"
641,Yamada-kun to 7-nin no Majo,الحلقات: 12,25-Sep-23,الحالة: مكتمل,Spring 2015,LIDENFILMS,الرقابة: Censored,التقييم 7.55,unknown,المدة: 24 min. per ep.,النوع: مسلسل,"['Comedy', 'Harem', 'Mystery', 'Romance', 'School', 'Shounen', 'Supernatural']"
642,Hataraku Maou-sama!,الحلقات: 13,2-Oct-23,الحالة: مكتمل,Spring 2013,White Fox,الرقابة: Censored,التقييم 7.74,unknown,المدة: 24 min. per ep.,النوع: مسلسل,"['Comedy', 'Fantasy', 'Mythology', 'Romantic Subtext', 'Workplace']"
643,Durarara!!x2 Shou,الحلقات: 12,2-Oct-23,الحالة: مكتمل,Winter 2015,Shuka,الرقابة: Censored,التقييم 7.98,Oomori Takahiro,المدة: 24 min. per ep.,النوع: مسلسل,"['Action', 'Mystery', 'Supernatural']"
644,Juuni Taisen,الحلقات: 12,19-Sep-23,الحالة: مكتمل,Fall 2017,Graphinica,الرقابة: Censored,التقييم 6.54,unknown,المدة: 24 min. per ep.,النوع: مسلسل,"['Action', 'Gore', 'Survival']"
645,Shinigami Bocchan to Kuro Maid 3rd Season,المخرج: Yamakawa Yoshiki,unknown,الحالة: مكتمل,unknown,J.C.Staff,نشر بواسطة: admin,unknown,unknown,الموسم: Spring 2024,الرقابة: Censored,"['Comedy', 'Romantic Subtext', 'Supernatural']"
646,Akuyaku Reijou nanode Last Boss wo Kattemimashita,الحلقات: 12,18-Sep-23,الحالة: مكتمل,Fall 2022,Maho Film,الرقابة: Censored,التقييم 7.23,unknown,المدة: 23 min. per ep.,النوع: مسلسل,"['Comedy', 'Fantasy', 'Isekai', 'Reincarnation', 'Romance', 'Shoujo']"
647,One Piece: Episode of Sabo – 3 Kyoudai no Kizuna Kiseki no Saikai to Uketsugareru Ishi,الرقابة: Censored,22-Aug-24,الحالة: مكتمل,unknown,Toei Animation,المخرج: Koga Gou,التقييم 7.70,unknown,المدة: 1 hr. 46 min.,الحلقات: 1,"['Action', 'Adventure', 'Fantasy', 'Shounen']"
648,Farmagia,"المخرج: Ishihira Shinji, Sano Toshihiko",unknown,الحالة: مكتمل,unknown,Bridge,نشر بواسطة: admin,unknown,unknown,الموسم: Winter 2025,الرقابة: Censored,"['Action', 'Adventure', 'Fantasy']"
649,Gakusen Toshi Asterisk 2nd Season,الحلقات: 12,28-Sep-23,الحالة: مكتمل,Spring 2016,A-1 Pictures,الرقابة: Censored,التقييم 7.00,unknown,المدة: 24 min. per ep.,النوع: مسلسل,"['Action', 'Comedy', 'Ecchi', 'Fantasy', 'Harem', 'Romance', 'School', 'Sci-Fi']"
650,Kanata no Astra,الحلقات: 12,27-Sep-23,الحالة: مكتمل,Summer 2019,Lerche,الرقابة: Censored,التقييم 8.08,unknown,المدة: 28 min. per ep.,النوع: مسلسل,"['Adventure', 'Award Winning', 'Mystery', 'Sci-Fi', 'Shounen', 'Space', 'Survival']"
651,Tasuuketsu,المخرج: Satou Tatsuo,unknown,الحالة: يعرض الأن,unknown,Satelight,نشر بواسطة: admin,unknown,unknown,الموسم: Summer 2024,الرقابة: Censored,"['Action', 'Drama', 'High Stakes Game', 'Psychological', 'Suspense']"
652,Delico’s Nursery,المخرج: Nishikiori Hiroshi,unknown,الحالة: يعرض الأن,unknown,J.C.Staff,نشر بواسطة: admin,unknown,unknown,الموسم: Summer 2024,الرقابة: Censored,"['Childcare', 'Fantasy', 'Vampire']"
653,Seirei Gensouki 2,نشر بواسطة: admin,unknown,الحالة: مكتمل,unknown,TMS Entertainment,"تم الإصدار في: August 21, 2024",unknown,unknown,النوع: مسلسل,"المخرج: Kubo Hiroshi, Yamasaki Osamu","['Action', 'Adventure', 'Fantasy', 'Harem', 'Isekai', 'Reincarnation', 'Romance']"
654,Ajin Part 2,الحلقات: 13,5-Oct-23,الحالة: مكتمل,Fall 2016,Polygon Pictures,الرقابة: Censored,التقييم 7.58,Andou Hiroaki,المدة: 24 min. per ep.,النوع: مسلسل,"['Action', 'Gore', 'Horror', 'Mystery', 'Seinen', 'Supernatural']"
655,The iDOLM@STER Shiny Colors 2nd Season,نشر بواسطة: admin,unknown,الحالة: مكتمل,unknown,Polygon Pictures,"تم الإصدار في: August 21, 2024",unknown,unknown,النوع: مسلسل,"المخرج: Iwata Takeshi, Mankyuu","['Idols (Female)', 'Music']"
656,Flying Witch,الحلقات: 12,28-Sep-23,الحالة: مكتمل,Spring 2016,J.C.Staff,الرقابة: Censored,التقييم 7.51,Sakurabi Katsushi,المدة: 23 min. per ep.,النوع: مسلسل,"['Iyashikei', 'Shounen', 'Slice of Life', 'Supernatural']"
657,Isekai One Turn Kill Neesan: Ane Douhan no Isekai Seikatsu Hajimemashita,الحلقات: 12,18-Sep-23,الحالة: مكتمل,Spring 2023,Gekkou,الرقابة: Censored,التقييم 6.36,unknown,المدة: 23 min. per ep.,النوع: مسلسل,"['Comedy', 'Fantasy', 'Isekai', 'Seinen']"
658,Dandadan,المخرج: Yamashiro Fuuga,unknown,الحالة: مكتمل,unknown,Science SARU,نشر بواسطة: admin,unknown,unknown,الموسم: Fall 2024,الرقابة: Censored,"['Action', 'Comedy', 'Shounen', 'Supernatural']"
659,Rail Romanesque 2,الحلقات: 13,30-Sep-23,الحالة: قادم,Fall 2023,Cloud Hearts,الرقابة: Censored,unknown,Ebira Michiru,المدة: 3 min. per ep.,النوع: مسلسل,['Slice of Life']
660,"Ijiranaide, Nagatoro-san 2nd Attack",الحلقات: 12,18-Sep-23,الحالة: مكتمل,Winter 2023,OLM,الرقابة: Censored,التقييم 7.51,unknown,المدة: 23 min. per ep.,النوع: مسلسل,"['Comedy', 'Romantic Subtext', 'School']"
661,Ajin,الحلقات: 13,5-Oct-23,الحالة: مكتمل,Winter 2016,Polygon Pictures,الرقابة: Censored,التقييم 7.39,Andou Hiroaki,المدة: 24 min. per ep.,النوع: مسلسل,"['Action', 'Gore', 'Horror', 'Mystery', 'Seinen', 'Supernatural']"
662,Enen no Shouboutai,الحلقات: 24,12-Oct-23,الحالة: مكتمل,Summer 2019,David Production,الرقابة: Censored,التقييم 7.71,unknown,المدة: 23 min. per ep.,النوع: مسلسل,"['Action', 'Fantasy', 'Sci-Fi', 'Shounen', 'Super Power']"
663,Seiken Gakuin no Makentsukai,المخرج: Morita Hiroyuki,unknown,الحالة: مكتمل,unknown,Passione,نشر بواسطة: admin,unknown,unknown,الموسم: Fall 2023,الرقابة: Censored,"['Action', 'Fantasy', 'Harem', 'Reincarnation', 'School']"
664,Magatsu Wahrheit: Zuerst,الحلقات: 12,22-Sep-23,الحالة: مكتمل,Fall 2020,Yokohama Animation Lab,الرقابة: Censored,التقييم 6.55,Hosoda Naoto,المدة: 24 min. per ep.,النوع: مسلسل,"['Action', 'Fantasy']"
665,Shenmue the Animation,الحلقات: 13,2-Oct-23,الحالة: مكتمل,Winter 2022,Telecom Animation Film,الرقابة: Censored,التقييم 6.67,Sakurai Chikara,المدة: 23 min. per ep.,النوع: مسلسل,"['Action', 'Adventure', 'Martial Arts']"
666,Dungeon no Naka no Hito,المخرج: Yamai Sayaka,unknown,الحالة: مكتمل,unknown,OLM,نشر بواسطة: admin,unknown,unknown,الموسم: Summer 2024,الرقابة: Censored,"['Adventure', 'Comedy', 'Fantasy']"
667,Maken-Ki!,الحلقات: 12,19-Sep-23,الحالة: مكتمل,Fall 2011,AIC Spirits,الرقابة: Censored,التقييم 6.32,Ohata Koichi,المدة: 25 min. per ep.,النوع: مسلسل,"['Action', 'Ecchi', 'Harem', 'Martial Arts', 'School', 'Shounen', 'Super Power']"
668,Ooyukiumi no Kaina,الحلقات: 11,19-Sep-23,الحالة: مكتمل,Winter 2023,Polygon Pictures,الرقابة: Censored,التقييم 6.67,unknown,المدة: 22 min. per ep.,النوع: مسلسل,"['Fantasy', 'Survival']"
669,Ore no Kanojo to Osananajimi ga Shuraba Sugiru,الحلقات: 13,5-Oct-23,الحالة: مكتمل,Winter 2013,A-1 Pictures,الرقابة: Censored,التقييم 6.92,Kamei Kanta,المدة: 23 min. per ep.,النوع: مسلسل,"['Comedy', 'Harem', 'Romance', 'School']"
670,Jibaku Shounen Hanako-kun,الحلقات: 12,28-Sep-23,الحالة: مكتمل,Winter 2020,Lerche,الرقابة: Censored,التقييم 7.84,unknown,المدة: 24 min. per ep.,النوع: مسلسل,"['Mythology', 'School', 'Shounen', 'Supernatural']"
671,Enen no Shouboutai: Ni no Shou,الحلقات: 24,13-Oct-23,الحالة: مكتمل,Summer 2020,David Production,الرقابة: Censored,التقييم 7.81,unknown,المدة: 24 min. per ep.,النوع: مسلسل,"['Action', 'Fantasy', 'Sci-Fi', 'Shounen', 'Super Power']"
672,Rikei ga Koi ni Ochita no de Shoumei shitemita.,الحلقات: 12,19-Sep-23,الحالة: مكتمل,Winter 2020,Zero-G,الرقابة: Censored,التقييم 7.36,unknown,المدة: 23 min. per ep.,النوع: مسلسل,"['Adult Cast', 'Comedy', 'Romance']"
673,Gangsta.,الحلقات: 12,19-Sep-23,الحالة: مكتمل,Summer 2015,Manglobe,الرقابة: Censored,التقييم 7.41,unknown,المدة: 23 min. per ep.,النوع: مسلسل,"['Action', 'Adult Cast', 'Drama', 'Organized Crime', 'Seinen']"
674,Seijo no Maryoku wa Bannou desu 2nd Season,الرقابة: Censored,20-Dec-23,الحالة: مكتمل,unknown,Diomedéa,المخرج: Ibata Shouta,unknown,unknown,الموسم: Fall 2023,الحلقات: 12,"['Fantasy', 'Isekai', 'Medical', 'Romance']"
675,Ameku Takao no Suiri Karte,المخرج: Iwata Kazuya,unknown,الحالة: مكتمل,unknown,Project No.9,نشر بواسطة: admin,unknown,unknown,الموسم: Winter 2025,الرقابة: Censored,"['Adult Cast', 'Medical', 'Mystery']"
676,Ji Yao Lu: Qicheng Pian,"تم الإصدار في: October 10, 2024",unknown,الحالة: مكتمل,unknown,unknown,"تحديث في: November 14, 2024",unknown,unknown,الحلقات: 12,نشر بواسطة: admin,"['Adventure', 'Comedy', 'Fantasy', 'Historical', 'Mythology']"
677,"Shijou Saikyou no Daimaou, Murabito A ni Tensei suru",الحلقات: 12,19-Sep-23,الحالة: مكتمل,Spring 2022,Blade,الرقابة: Censored,التقييم 6.29,unknown,المدة: 24 min. per ep.,النوع: مسلسل,"['Action', 'Fantasy', 'Harem', 'Reincarnation', 'School']"
678,"Kumo desu ga, Nani ka?",الحلقات: 24,13-Oct-23,الحالة: مكتمل,Winter 2021,Millepensee,الرقابة: Censored,التقييم 7.45,unknown,المدة: 23 min. per ep.,النوع: مسلسل,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Isekai', 'Mystery', 'Reincarnation']"
679,Noblesse,الحلقات: 13,2-Oct-23,الحالة: مكتمل,Fall 2020,Production I.G,الرقابة: Censored,التقييم 6.89,Tada Shunsuke,المدة: 23 min. per ep.,النوع: مسلسل,"['Action', 'School', 'Supernatural', 'Vampire']"
680,IDOLiSH7 Third Beat! Part 2,الحلقات: 17,18-Sep-23,الحالة: مكتمل,Fall 2022,TROYCA,الرقابة: Censored,التقييم 8.33,Bessho Makoto,المدة: 24 min. per ep.,النوع: مسلسل,"['Drama', 'Idols (Male)', 'Music']"
681,Watashi no Shiawase na Kekkon,الحلقات: 12,24-Mar-24,الحالة: مكتمل,Summer 2023,Kinema Citrus,الرقابة: Censored,التقييم 8.25,unknown,المدة: 23 min. per ep.,النوع: مسلسل,"['Adult Cast', 'Drama', 'Fantasy', 'Historical', 'Romance']"
682,Gimai Seikatsu,المخرج: Ueno Takehiro,unknown,الحالة: مكتمل,unknown,Studio Deen,نشر بواسطة: admin,unknown,unknown,الموسم: Summer 2024,الرقابة: Censored,['Romance']
683,Saikin Yatotta Maid ga Ayashii,الحلقات: 11,19-Sep-23,الحالة: مكتمل,Summer 2022,Blade,الرقابة: Censored,التقييم 6.58,unknown,المدة: 23 min. per ep.,النوع: مسلسل,"['Comedy', 'Romantic Subtext', 'Shounen']"
684,Muteking the Dancing Hero,الحلقات: 12,4-Dec-23,الحالة: مكتمل,Fall 2021,Tatsunoko Production,الرقابة: Censored,التقييم 5.84,Sasagawa Hiroshi,المدة: 23 min. per ep.,النوع: مسلسل,"['Action', 'Comedy', 'Music', 'Sci-Fi']"
685,Uchi no Kaisha no Chiisai Senpai no Hanashi,الحلقات: 12,24-Sep-23,الحالة: مكتمل,Summer 2023,Project No.9,الرقابة: Censored,التقييم 6.67,unknown,المدة: 23 min. per ep.,النوع: مسلسل,"['Adult Cast', 'Comedy', 'Romance', 'Workplace']"
686,Liar Liar,الحلقات: 12,21-Sep-23,الحالة: مكتمل,Summer 2023,Geek Toys,الرقابة: Censored,التقييم 6.42,unknown,المدة: 23 min. per ep.,النوع: مسلسل,"['Psychological', 'School', 'Strategy Game', 'Suspense']"
687,New Game!,الحلقات: 12,28-Sep-23,الحالة: مكتمل,Summer 2016,Doga Kobo,الرقابة: Censored,التقييم 7.56,unknown,المدة: 24 min. per ep.,النوع: مسلسل,"['Adult Cast', 'CGDCT', 'Comedy', 'Otaku Culture', 'Workplace']"
688,Dog Signal,الرقابة: Censored,30-Sep-23,الحالة: قادم,unknown,Fugaku,المخرج: Furuhashi Kazuhiro,unknown,unknown,الموسم: Fall 2023,الحلقات: 20,"['Josei', 'Pets', 'Slice of Life']"
689,Lazarus,الرقابة: Censored,30-Apr-25,الحالة: يعرض الأن,unknown,MAPPA,المخرج: Watanabe Shinichirou,unknown,unknown,الموسم: Spring 2025,الحلقات: 13,['Sci-Fi']
690,Seiyuu Radio no Uraomote,المخرج: Tachibana Hideki,unknown,الحالة: قادم,unknown,Connect,نشر بواسطة: admin,unknown,unknown,الموسم: Spring 2024,الرقابة: Censored,"['Comedy', 'Girls Love', 'School']"
691,Death March kara Hajimaru Isekai Kyousoukyoku,الحلقات: 12,28-Sep-23,الحالة: مكتمل,Winter 2018,Connect,الرقابة: Censored,التقييم 6.45,unknown,المدة: 23 min. per ep.,النوع: مسلسل,"['Adventure', 'Fantasy', 'Harem', 'Isekai']"
692,Dungeon Meshi,نشر بواسطة: admin,unknown,الحالة: مكتمل,unknown,Trigger,"تم الإصدار في: December 1, 2023",unknown,unknown,النوع: مسلسل,المخرج: Miyajima Yoshihiro,"['Comedy', 'Fantasy', 'Gourmet', 'Seinen']"
693,Kingdom,الحلقات: 38,14-Oct-23,الحالة: مكتمل,Summer 2012,Pierrot,الرقابة: Censored,التقييم 7.92,Kamiya Jun,المدة: 25 min. per ep.,النوع: مسلسل,"['Action', 'Historical', 'Military', 'Seinen']"
694,Kai Byoui Ramune,الحلقات: 12,19-Sep-23,الحالة: مكتمل,Winter 2021,Platinum Vision,الرقابة: Censored,التقييم 7.16,Ooba Hideaki,المدة: 23 min. per ep.,النوع: مسلسل,"['Medical', 'Mystery', 'Psychological', 'Shounen', 'Supernatural']"
695,Ousama Ranking,الحلقات: 23,12-Oct-23,الحالة: مكتمل,Fall 2021,Wit Studio,الرقابة: Censored,التقييم 8.53,Hatta Yousuke,المدة: 22 min. per ep.,النوع: مسلسل,"['Adventure', 'Fantasy']"
696,Fruits Basket 1st Season,الحلقات: 25,13-Oct-23,الحالة: مكتمل,Spring 2019,TMS Entertainment,الرقابة: Censored,التقييم 8.22,Ibata Yoshihide,المدة: 23 min. per ep.,النوع: مسلسل,"['Drama', 'Love Polygon', 'Romance', 'School', 'Shoujo', 'Supernatural']"
697,Shingeki no Kyojin Season 2,الحلقات: 12,19-Sep-23,الحالة: مكتمل,Spring 2017,Wit Studio,الرقابة: Censored,التقييم 8.51,unknown,المدة: 24 min. per ep.,النوع: مسلسل,"['Action', 'Drama', 'Gore', 'Military', 'Shounen', 'Survival', 'Suspense']"
698,Sentai Daishikkaku 2nd Season,المخرج: Satou Keiichi,unknown,الحالة: قادم,unknown,Yostar Pictures,نشر بواسطة: admin,unknown,unknown,الموسم: Spring 2025,الرقابة: Censored,"['Action', 'Fantasy', 'Shounen', 'Urban Fantasy']"
699,One Piece Film: Red,الرقابة: Censored,22-Aug-24,الحالة: مكتمل,unknown,Toei Animation,المخرج: Taniguchi Gorou,التقييم 7.82,unknown,المدة: 1 hr. 55 min.,الحلقات: 1,"['Action', 'Adventure', 'Award Winning', 'Comedy', 'Drama', 'Fantasy', 'Idols (Female)', 'Shounen']"
700,Mix: Meisei Story,الحلقات: 24,13-Oct-23,الحالة: مكتمل,Spring 2019,OLM,الرقابة: Censored,التقييم 7.22,unknown,المدة: 23 min. per ep.,النوع: مسلسل,"['Drama', 'Romance', 'School', 'Shounen', 'Sports', 'Team Sports']"
701,Akame ga Kill!,الحلقات: 24,13-Oct-23,الحالة: مكتمل,Summer 2014,White Fox,الرقابة: Censored,التقييم 7.47,Kobayashi Tomoki,المدة: 23 min. per ep.,النوع: مسلسل,"['Action', 'Fantasy', 'Gore', 'Shounen', 'Super Power']"
702,Guraburu!,الحلقات: 12,22-Sep-23,الحالة: مكتمل,Fall 2020,DMM.futureworks,الرقابة: Censored,التقييم 5.77,Morii Kenshirou,المدة: 3 min. per ep.,النوع: مسلسل,"['Adventure', 'Fantasy']"
703,Hunter x Hunter (2011),الحلقات: 148,12-Oct-23,الحالة: مكتمل,Fall 2011,Madhouse,الرقابة: Censored,التقييم 9.04,unknown,المدة: 23 min. per ep.,النوع: مسلسل,"['Action', 'Adventure', 'Fantasy', 'Shounen']"
704,Getter Robo Arc,الحلقات: 13,5-Oct-23,الحالة: مكتمل,Summer 2021,Bee Media,الرقابة: Censored,التقييم 6.15,Kawagoe Jun,المدة: 24 min. per ep.,النوع: مسلسل,"['Action', 'Mecha', 'Sci-Fi', 'Shounen']"
705,Fuuka,الحلقات: 12,28-Sep-23,الحالة: مكتمل,Winter 2017,Diomedéa,الرقابة: Censored,التقييم 6.51,Kusakawa Keizou,المدة: 24 min. per ep.,النوع: مسلسل,"['Drama', 'Ecchi', 'Love Polygon', 'Music', 'Romance', 'School', 'Shounen']"
706,Kyuuketsuki Sugu Shinu 2,الحلقات: 12,27-Sep-23,الحالة: مكتمل,Winter 2023,Madhouse,الرقابة: Censored,التقييم 7.44,Koujina Hiroshi,المدة: 23 min. per ep.,النوع: مسلسل,"['Adult Cast', 'Comedy', 'Gag Humor', 'Shounen', 'Supernatural', 'Vampire']"
707,Runway de Waratte,الحلقات: 12,28-Sep-23,الحالة: مكتمل,Winter 2020,Ezόla,الرقابة: Censored,التقييم 7.57,unknown,المدة: 24 min. per ep.,النوع: مسلسل,"['Drama', 'School', 'Shounen', 'Showbiz', 'Visual Arts']"
708,Rail Wars!,الحلقات: 12,19-Sep-23,الحالة: مكتمل,Summer 2014,Passione,الرقابة: Censored,التقييم 6.39,Sueda Yoshifumi,المدة: 24 min. per ep.,النوع: مسلسل,"['Action', 'Detective', 'Ecchi', 'Harem', 'Workplace']"
709,Selection Project,الحلقات: 13,2-Oct-23,الحالة: مكتمل,Fall 2021,Doga Kobo,الرقابة: Censored,التقييم 7.26,unknown,المدة: 23 min. per ep.,النوع: مسلسل,"['Idols (Female)', 'Music']"
710,Manaria Friends,الحلقات: 10,19-Sep-23,الحالة: مكتمل,Winter 2019,CygamesPictures,الرقابة: Censored,التقييم 6.67,Okamoto Hideki,المدة: 14 min. per ep.,النوع: مسلسل,"['Fantasy', 'Iyashikei', 'School', 'Slice of Life']"
711,Miru: Watashi no Mirai,الرقابة: Censored,unknown,الحالة: قادم,unknown,Larx Entertainment,نشر بواسطة: admin,unknown,unknown,الموسم: Spring 2025,الحلقات: 5,['Sci-Fi']
712,Tada-kun wa Koi wo Shinai,الحلقات: 13,2-Oct-23,الحالة: مكتمل,Spring 2018,Doga Kobo,الرقابة: Censored,التقييم 7.57,unknown,المدة: 23 min. per ep.,النوع: مسلسل,"['Comedy', 'Romance', 'School', 'Visual Arts']"
713,Days (TV),الحلقات: 24,13-Oct-23,الحالة: مكتمل,Summer 2016,MAPPA,الرقابة: Censored,التقييم 7.16,unknown,المدة: 24 min. per ep.,النوع: مسلسل,"['School', 'Shounen', 'Sports', 'Team Sports']"
714,Overlord Movie 3: Sei Oukoku-hen,الرقابة: Censored,unknown,الحالة: يعرض الأن,unknown,Madhouse,نشر بواسطة: admin,التقييم 7.80,unknown,المدة: 2 hr. 15 min.,الحلقات: 1,"['Action', 'Adventure', 'Fantasy', 'Isekai']"
715,Tokyo Magnitude 8.0,الحلقات: 11,19-Sep-23,الحالة: مكتمل,Summer 2009,Bones,الرقابة: Censored,التقييم 8.01,Tachibana Masaki,المدة: 22 min. per ep.,النوع: مسلسل,"['Award Winning', 'Drama']"
716,Dekisokonai to Yobareta Motoeiyuu wa Jikka kara Tsuihou sareta node Sukikatte ni Ikiru Koto ni Shita,المخرج: Koga Kazuomi,unknown,الحالة: مكتمل,unknown,Marvy Jack,نشر بواسطة: admin,unknown,unknown,الموسم: Spring 2024,الرقابة: Censored,"['Action', 'Adventure', 'Fantasy']"
717,Brave 10,الحلقات: 12,19-Sep-23,الحالة: مكتمل,Winter 2012,TMS Entertainment,الرقابة: Censored,التقييم 6.75,Sayama Kiyoko,المدة: 24 min. per ep.,النوع: مسلسل,"['Action', 'Adventure', 'Historical', 'Samurai', 'Seinen', 'Super Power']"
718,Yatogame-chan Kansatsu Nikki Yonsatsume,الحلقات: 10,19-Sep-23,الحالة: مكتمل,Spring 2022,Creators in Pack,الرقابة: Censored,التقييم 6.29,Hirasawa Hisayoshi,المدة: 3 min. per ep.,النوع: مسلسل,"['Comedy', 'School', 'Shounen']"
719,Katsute Mahou Shoujo to Aku wa Tekitai shiteita.,المخرج: Oohashi Akiyo,unknown,الحالة: مكتمل,unknown,Bones,نشر بواسطة: admin,unknown,unknown,الموسم: Summer 2024,الرقابة: Censored,"['Comedy', 'Fantasy', 'Mahou Shoujo', 'Romance', 'Shounen']"
720,God Eater,الحلقات: 13,2-Oct-23,الحالة: مكتمل,Summer 2015,ufotable,الرقابة: Censored,التقييم 7.20,Hirao Takayuki,المدة: 23 min. per ep.,النوع: مسلسل,"['Action', 'Fantasy', 'Military', 'Sci-Fi']"
721,Monogatari Series: Second Season,الحلقات: 26,14-Oct-23,الحالة: مكتمل,Summer 2013,Shaft,الرقابة: Censored,التقييم 8.76,Shinbou Akiyuki,المدة: 25 min. per ep.,النوع: مسلسل,"['Comedy', 'Mystery', 'Romance', 'Supernatural', 'Vampire']"
722,Joukamachi no Dandelion,الحلقات: 12,19-Sep-23,الحالة: مكتمل,Summer 2015,Production IMS,الرقابة: Censored,التقييم 7.16,Akitaya Noriaki,المدة: 24 min. per ep.,النوع: مسلسل,"['Comedy', 'Seinen', 'Super Power', 'Supernatural']"
723,Gochuumon wa Usagi desu ka? Bloom,الحلقات: 12,22-Sep-23,الحالة: مكتمل,Fall 2020,Encourage Films,الرقابة: Censored,التقييم 7.93,unknown,المدة: 24 min. per ep.,النوع: مسلسل,"['CGDCT', 'Iyashikei', 'Slice of Life', 'Workplace']"
724,Shikizakura,الحلقات: 12,19-Sep-23,الحالة: مكتمل,Fall 2021,Sublimation,الرقابة: Censored,التقييم 5.83,Kurosaki Gou,المدة: 24 min. per ep.,النوع: مسلسل,"['Action', 'Drama', 'Sci-Fi']"
725,Ore Monogatari!!,الحلقات: 24,13-Oct-23,الحالة: مكتمل,Spring 2015,Madhouse,الرقابة: Censored,التقييم 7.90,Asaka Morio,المدة: 22 min. per ep.,النوع: مسلسل,"['Comedy', 'Romance', 'Shoujo']"
726,Tonikaku Kawaii: Joshikou-hen,الرقابة: Censored,unknown,الحالة: مكتمل,unknown,Seven Arcs,نشر بواسطة: admin,التقييم 7.76,unknown,المدة: 23 min. per ep.,الحلقات: 4,"['Comedy', 'Romance', 'Shounen']"
727,Utawarerumono: Futari no Hakuoro,الحلقات: 28,14-Oct-23,الحالة: مكتمل,Summer 2022,White Fox,الرقابة: Censored,التقييم 7.52,unknown,المدة: 24 min. per ep.,النوع: مسلسل,"['Action', 'Drama', 'Fantasy']"
728,Amaama to Inazuma,الحلقات: 12,19-Sep-23,الحالة: مكتمل,Summer 2016,TMS Entertainment,الرقابة: Censored,التقييم 7.53,Iwasaki Tarou,المدة: 24 min. per ep.,النوع: مسلسل,"['Childcare', 'Gourmet', 'Iyashikei', 'Seinen', 'Slice of Life']"
729,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,الحلقات: 39,14-Oct-23,الحالة: مكتمل,Fall 2018,David Production,الرقابة: Censored,التقييم 8.58,Kimura Yasuhiro,المدة: 23 min. per ep.,النوع: مسلسل,"['Action', 'Adventure', 'Organized Crime', 'Shounen', 'Supernatural']"
730,Kidou Senshi Gundam: Suisei no Majo Season 2,الحلقات: 12,18-Sep-23,الحالة: مكتمل,Spring 2023,Sunrise,الرقابة: Censored,التقييم 7.98,Kobayashi Hiroshi,المدة: 24 min. per ep.,النوع: مسلسل,"['Action', 'Mecha', 'School', 'Sci-Fi', 'Space']"
731,Shadowverse Flame: Arc-hen,نشر بواسطة: admin,unknown,الحالة: قادم,unknown,Zexcs,"تم الإصدار في: March 22, 2024",unknown,unknown,الموسم: Spring 2024,الرقابة: Censored,"['Fantasy', 'Strategy Game']"
732,Taishou Otome Otogibanashi,الحلقات: 12,19-Sep-23,الحالة: مكتمل,Fall 2021,SynergySP,الرقابة: Censored,التقييم 7.79,unknown,المدة: 23 min. per ep.,النوع: مسلسل,"['Comedy', 'Drama', 'Historical', 'Romance', 'Shounen']"
733,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,الحلقات: 12,22-Sep-23,الحالة: مكتمل,Winter 2021,White Fox,الرقابة: Censored,التقييم 8.44,Watanabe Masaharu,المدة: 29 min. per ep.,النوع: مسلسل,"['Drama', 'Fantasy', 'Isekai', 'Psychological', 'Suspense', 'Time Travel']"
734,Himitsu no AiPri,"المخرج: Choi Hun Cheol, Fujisaku Junichi, Park Chi Man, Yamaguchi Kentarou",unknown,الحالة: قادم,unknown,Dongwoo A&E,نشر بواسطة: admin,unknown,unknown,الموسم: Spring 2024,الرقابة: Censored,"['Idols (Female)', 'Music']"
735,Kekkon Yubiwa Monogatari,المخرج: Naoya Takashi,unknown,الحالة: مكتمل,unknown,Staple Entertainment,نشر بواسطة: admin,unknown,unknown,الموسم: Winter 2024,الرقابة: Censored,"['Action', 'Ecchi', 'Fantasy', 'Harem', 'Isekai', 'Romance', 'Seinen']"
736,Tensei shitara Slime Datta Ken 2nd Season,الحلقات: 12,19-Sep-23,الحالة: مكتمل,Winter 2021,8bit,الرقابة: Censored,التقييم 8.39,Nakayama Atsushi,المدة: 23 min. per ep.,النوع: مسلسل,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Isekai', 'Reincarnation', 'Shounen']"
737,NEET Kunoichi to Nazeka Dousei Hajimemashita,الرقابة: Censored,7-Jan-25,الحالة: قادم,Winter 2025,Quad,المخرج: Saitou Hisashi,unknown,unknown,المدة: 15 min.,النوع: مسلسل,"['Comedy', 'Romance', 'Supernatural']"
738,One Piece Movie 03: Chinjuu-jima no Chopper Oukoku,الرقابة: Censored,22-Aug-24,الحالة: مكتمل,unknown,Toei Animation,المخرج: Shimizu Junji,التقييم 6.84,unknown,المدة: 55 min.,الحلقات: 1,"['Action', 'Adventure', 'Fantasy', 'Shounen']"
